ID,ADDITIONAL_DESCRIPTION
40942,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>F872 D/R RED, 18 RATIO, QUILL INPUT, BASE MOUNT</td> </tr> <tr> <th>Ratio</th> <td>18</td> </tr> <tr> <th>Input HP</th> <td>5</td> </tr> <tr> <th>Output Torque (LB-IN)</th> <td>3096</td> </tr> <tr> <th>Output RPM @1750</th> <td>97</td> </tr> <tr> <th>Bore Code</th> <td>B9</td> </tr> <tr> <th>Reduction</th> <td>Double</td> </tr> <tr> <th>Style</th> <td>Base Mounted</td> </tr> <tr> <th>Input Style</th> <td>Quill</td> </tr> <tr> <th>NEMA Mounting</th> <td>180TC/210C</td> </tr> <tr> <th>Overhung Load</th> <td>1275</td> </tr> <tr> <th>Oil Capacity</th> <td>2.6</td> </tr> <tr> <th>Weight</th> <td>99</td> </tr> </tbody> </table> "
47276,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>732 S/R RED. 30:1 RATIO, NO BASE, &#39;H&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>58.3</td> </tr> <tr> <th>Ratio</th> <td>30</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>H</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>2140</td> </tr> </tbody> </table>"
47277,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>732 S/R RED. 30:1 RATIO, NO BASE, &#39;J&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>58.3</td> </tr> <tr> <th>Ratio</th> <td>30</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>J</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>2140</td> </tr> </tbody> </table> "
47278,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>732 S/R RED. 40:1 RATIO, NO BASE, &#39;G&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>43.8</td> </tr> <tr> <th>Ratio</th> <td>40</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>G</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>2288</td> </tr> </tbody> </table> "
47279,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>732 S/R RED. 40:1 RATIO, NO BASE, &#39;H&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>43.8</td> </tr> <tr> <th>Ratio</th> <td>40</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>H</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>2288</td> </tr> </tbody> </table> "
47280,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>732 S/R RED. 40:1 RATIO, NO BASE, &#39;J&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>43.8</td> </tr> <tr> <th>Ratio</th> <td>40</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>J</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>2288</td> </tr> </tbody> </table> "
47281,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>732 S/R RED. 50:1 RATIO, NO BASE, &#39;G&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>35</td> </tr> <tr> <th>Ratio</th> <td>50</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>G</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>2288</td> </tr> </tbody> </table> "
47282,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>732 S/R RED. 50:1 RATIO, NO BASE, &#39;H&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>35</td> </tr> <tr> <th>Ratio</th> <td>50</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>H</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>2288</td> </tr> </tbody> </table> "
47283,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>732 S/R RED. 50:1 RATIO, NO BASE, &#39;J&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>35</td> </tr> <tr> <th>Ratio</th> <td>50</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>J</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>2288</td> </tr> </tbody> </table> "
47284,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>732 S/R RED. 60:1 RATIO, NO BASE, &#39;G&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>29.2</td> </tr> <tr> <th>Ratio</th> <td>60</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>G</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>2194</td> </tr> </tbody> </table> "
47285,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>732 S/R RED. 60:1 RATIO, NO BASE, &#39;H&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>29.2</td> </tr> <tr> <th>Ratio</th> <td>60</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>H</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>2194</td> </tr> </tbody> </table> "
47286,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>732 S/R RED. 60:1 RATIO, NO BASE, &#39;J&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>29.2</td> </tr> <tr> <th>Ratio</th> <td>60</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>J</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>2194</td> </tr> </tbody> </table>"
47287,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>738 S/R RED. 10:1 RATIO, NO BASE, &#39;G&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>175</td> </tr> <tr> <th>Ratio</th> <td>10</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>G</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>2644</td> </tr> </tbody> </table> "
47288,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>738 S/R RED. 10:1 RATIO, NO BASE, &#39;H&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>175</td> </tr> <tr> <th>Ratio</th> <td>10</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>H</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>2644</td> </tr> </tbody> </table> "
47289,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>738 S/R RED. 10:1 RATIO, NO BASE, &#39;J&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>175</td> </tr> <tr> <th>Ratio</th> <td>10</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>J</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>2644</td> </tr> </tbody> </table> "
47290,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>738 S/R RED. 15:1 RATIO, NO BASE, &#39;G&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>116.7</td> </tr> <tr> <th>Ratio</th> <td>15</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>G</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>2322</td> </tr> </tbody> </table> "
47291,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>738 S/R RED. 15:1 RATIO, NO BASE, &#39;H&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>116.7</td> </tr> <tr> <th>Ratio</th> <td>15</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>H</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>2322</td> </tr> </tbody> </table> "
47292,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>738 S/R RED. 15:1 RATIO, NO BASE, &#39;J&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>116.7</td> </tr> <tr> <th>Ratio</th> <td>15</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>J</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>2322</td> </tr> </tbody> </table> "
47293,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>738 S/R RED. 20:1 RATIO, NO BASE, &#39;G&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>87.5</td> </tr> <tr> <th>Ratio</th> <td>20</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>G</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>3488</td> </tr> </tbody> </table> "
47294,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>738 S/R RED. 20:1 RATIO, NO BASE, &#39;H&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>87.5</td> </tr> <tr> <th>Ratio</th> <td>20</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>H</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>3488</td> </tr> </tbody> </table> "
47295,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>738 S/R RED. 20:1 RATIO, NO BASE, &#39;J&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>87.5</td> </tr> <tr> <th>Ratio</th> <td>20</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>J</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>3488</td> </tr> </tbody> </table> "
47296,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>738 S/R RED. 30:1 RATIO, NO BASE, &#39;G&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>58.3</td> </tr> <tr> <th>Ratio</th> <td>30</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>G</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>3200</td> </tr> </tbody> </table> "
47297,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>738 S/R RED. 30:1 RATIO, NO BASE, &#39;H&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>58.3</td> </tr> <tr> <th>Ratio</th> <td>30</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>H</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>3200</td> </tr> </tbody> </table> "
47298,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>738 S/R RED. 30:1 RATIO, NO BASE, &#39;J&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>58.3</td> </tr> <tr> <th>Ratio</th> <td>30</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>J</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>3200</td> </tr> </tbody> </table> "
47299,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>738 S/R RED. 40:1 RATIO, NO BASE, &#39;G&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>43.8</td> </tr> <tr> <th>Ratio</th> <td>40</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>G</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>3410</td> </tr> </tbody> </table> "
5789732,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>752 S/R RED. 20:1 RATIO, NO BASE, &#39;H&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>87.5</td> </tr> <tr> <th>Ratio</th> <td>20</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>H</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>6300</td> </tr> </tbody> </table> "
5054187,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>F738 S/R RED. 60:1 RATIO, NO BASE, &#39;H&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>QUILL</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>29.2</td> </tr> <tr> <th>Ratio</th> <td>60</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>H</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>3190</td> </tr> <tr> <th>Bore Code</th> <td>B7 - 140TC/180C</td> </tr> <tr> <th>Motor HP (Class I)</th> <td>2</td> </tr> <tr> <th>Flange</th> <td>Yes</td> </tr> </tbody> </table>"
44272,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>QC738 S/R RED. 10:1 RATIO, NO BASE, &#39;G&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>COUPLED</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>175</td> </tr> <tr> <th>Ratio</th> <td>10</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>G</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>2644</td> </tr> <tr> <th>Bore Code</th> <td>B11 - 210TC/250VC</td> </tr> <tr> <th>Motor HP (Class I)</th> <td>7-1/2</td> </tr> <tr> <th>Flange</th> <td>Yes</td> </tr> </tbody> </table> "
44720,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>HQC738 S/R RED. 20:1 RATIO, NO BASE, &#39;H&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>HOLLOW O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>COUPLED</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>YES</td> </tr> <tr> <th>Output RPM @1750</th> <td>87.5</td> </tr> <tr> <th>Ratio</th> <td>20</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>H</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>4147</td> </tr> <tr> <th>Bore Code</th> <td>B9 - 180TC/210C</td> </tr> <tr> <th>Motor HP (Class I)</th> <td>5</td> </tr> <tr> <th>Flange</th> <td>Yes</td> </tr> <tr> <th>Bore Size (IN)</th> <td>1-3/8</td> </tr> </tbody> </table> "
44722,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>QC738 S/R RED. 30:1 RATIO, NO BASE, &#39;G&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>COUPLED</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>58.3</td> </tr> <tr> <th>Ratio</th> <td>30</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>G</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>3200</td> </tr> <tr> <th>Bore Code</th> <td>B9 - 180TC/210C</td> </tr> <tr> <th>Motor HP (Class I)</th> <td>3</td> </tr> <tr> <th>Flange</th> <td>Yes</td> </tr> </tbody> </table> "
44723,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>HQC738 S/R RED. 30:1 RATIO, NO BASE, &#39;H&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>HOLLOW O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>COUPLED</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>58.3</td> </tr> <tr> <th>Ratio</th> <td>30</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>H</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>3200</td> </tr> <tr> <th>Bore Code</th> <td>B9 - 180TC/210C</td> </tr> <tr> <th>Motor HP (Class I)</th> <td>3</td> </tr> <tr> <th>Flange</th> <td>Yes</td> </tr> <tr> <th>Bore Size (IN)</th> <td>1-3/8</td> </tr> </tbody> </table> "
44724,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>QC738 S/R RED. 30:1 RATIO, NO BASE, &#39;J&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>COUPLED</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>58.3</td> </tr> <tr> <th>Ratio</th> <td>30</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>J</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>3200</td> </tr> <tr> <th>Bore Code</th> <td>B9 - 180TC/210C</td> </tr> <tr> <th>Motor HP (Class I)</th> <td>3</td> </tr> <tr> <th>Flange</th> <td>Yes</td> </tr> </tbody> </table> "
44725,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>QC738 S/R RED. 30:1 RATIO, NO BASE, &#39;G&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>COUPLED</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>YES</td> </tr> <tr> <th>Output RPM @1750</th> <td>58.3</td> </tr> <tr> <th>Ratio</th> <td>30</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>G</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>3800</td> </tr> <tr> <th>Bore Code</th> <td>B9 - 180TC/210C</td> </tr> <tr> <th>Motor HP (Class I)</th> <td>3</td> </tr> <tr> <th>Flange</th> <td>Yes</td> </tr> </tbody> </table> "
44726,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>HQC738 S/R RED. 30:1 RATIO, NO BASE, &#39;H&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>HOLLOW O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>COUPLED</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>YES</td> </tr> <tr> <th>Output RPM @1750</th> <td>58.3</td> </tr> <tr> <th>Ratio</th> <td>30</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>H</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>3800</td> </tr> <tr> <th>Bore Code</th> <td>B9 - 180TC/210C</td> </tr> <tr> <th>Motor HP (Class I)</th> <td>3</td> </tr> <tr> <th>Flange</th> <td>Yes</td> </tr> <tr> <th>Bore Size (IN)</th> <td>1-3/8</td> </tr> </tbody> </table> "
44727,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>QC738 S/R RED. 30:1 RATIO, NO BASE, &#39;J&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>COUPLED</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>YES</td> </tr> <tr> <th>Output RPM @1750</th> <td>58.3</td> </tr> <tr> <th>Ratio</th> <td>30</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>J</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>3800</td> </tr> <tr> <th>Bore Code</th> <td>B9 - 180TC/210C</td> </tr> <tr> <th>Motor HP (Class I)</th> <td>3</td> </tr> <tr> <th>Flange</th> <td>Yes</td> </tr> </tbody> </table> "
